Mods count: 203
 
                                  jar name                                   | notes |                        mod id                        |                 mod name                  |           mod version           |                                                                                                                                                                         mixin configs                                                                                                                                                                         |              modrinth hash               | curseforge hash
    /META-INF/jars/cardinal-components-scoreboard-5.2.3.jar                  |       | cardinal-components-scoreboard                       | Cardinal Components API (scoreboard)      | 5.2.3                           | mixins.cardinal_components_scoreboard.json                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/cardinal-components-world-5.2.3.jar                       |       | cardinal-components-world                            | Cardinal Components API (worlds)          | 5.2.3                           | mixins.cardinal_components_world.json                                                                                                                                                                                                                                                                                                                         |                                          |                
cherishedworlds-fabric-6.1.7+1.20.1.jar                                      |       | cherishedworlds                                      | Cherished Worlds                          | 6.1.7+1.20.1                    | cherishedworlds.fabric.mixins.json, cherishedworlds.mixins.json                                                                                                                                                                                                                                                                                               | da9ecf9e350accf60a2f428217f336631b03d603 | 2712528014     
chipped-fabric-1.20.1-3.0.7.jar                                              |       | chipped                                              | Chipped                                   | 3.0.7                           | chipped-common.mixins.json                                                                                                                                                                                                                                                                                                                                    | add35e79f6a930825e4dbe77d5d0468fb96c533f | 4186287027     
citresewn-1.2.2+1.20.1.jar                                                   |       | citresewn                                            | CIT Resewn                                | 1.2.2+1.20.1                    | citresewn.mixins.json                                                                                                                                                                                                                                                                                                                                         | 1197a13e1c69e808e0c5d992fb344840c99a15d6 | 2215838979     
    /META-INF/jars/citresewn-defaults-1.2.2+1.20.1.jar                       |       | citresewn-defaults                                   | CIT Resewn: Defaults                      | 1.2.2+1.20.1                    | citresewn-defaults.mixins.json                                                                                                                                                                                                                                                                                                                                |                                          |                
cloth-config-11.1.136-fabric.jar                                             |       | cloth-config                                         | Cloth Config v11                          | 11.1.136                        |                                                                                                                                                                                                                                                                                                                                                               | d5fe84a0cc9ed5c7290a76ba570e1f8716afecab | 3135011606     
    /META-INF/jars/basic-math-0.6.1.jar                                      |       | cloth-basic-math                                     |                                           | 0.6.1                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
collective-1.20.1-8.22.jar                                                   |       | collective                                           | Collective                                | 8.22                            | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json                                                                                                                                                                                                                                                               | 14928c245ac6966bf9316be5233a8aead943e6d4 | 1537661902     
comforts-fabric-6.4.0+1.20.1.jar                                             |       | comforts                                             | Comforts                                  | 6.4.0+1.20.1                    | comforts.mixins.json, comforts.fabric.mixins.json                                                                                                                                                                                                                                                                                                             | 96c1b52fa6dcff140b56e17ce980d2a5c528fad2 | 137628179      
    /META-INF/jars/cardinal-components-base-5.2.1.jar                        |       | cardinal-components-base                             | Cardinal Components API (base)            | 5.2.1                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jars/cardinal-components-entity-5.2.1.jar                      |       | cardinal-components-entity                           | Cardinal Components API (entities)        | 5.2.1                           | mixins.cardinal_components_entity.json                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/spectrelib-fabric-0.13.15+1.20.1.jar                      |       | spectrelib                                           | SpectreLib                                | 0.13.15+1.20.1                  | spectrelib.mixins.json                                                                                                                                                                                                                                                                                                                                        |                                          |                
        /META-INF/jars/core-3.6.5.jar                                        |       | com_electronwill_night-config_core                   | core                                      | 3.6.5                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
        /META-INF/jars/toml-3.6.5.jar                                        |       | com_electronwill_night-config_toml                   | toml                                      | 3.6.5                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
continuity-3.0.0+1.20.1.jar                                                  |       | continuity                                           | Continuity                                | 3.0.0+1.20.1                    | continuity.mixins.json                                                                                                                                                                                                                                                                                                                                        | b9b3908c93efed3da5ad7caaf733b9d5b678c85f | 4211891507     
cooldown-coordinator-0.6.3.jar                                               |       | cooldown-coordinator                                 | Cooldown Coordinator                      | 0.6.3                           | cooldown-coordinator.mixins.json                                                                                                                                                                                                                                                                                                                              | baae63b5aaa7161c9e662f45980d1725dbb924ed | 551396340      
CraftPresence-2.7.1+1.20.1-fabric.jar                                        |       | craftpresence                                        | CraftPresence                             | 2.7.1                           |                                                                                                                                                                                                                                                                                                                                                               | 37f6f328f5f1457900e27b2b04580f85927204d6 | 3481709206     
    /META-INF/jars/fabric-resource-loader-v0-0.11.10+1802ada577.jar          |       | fabric-resource-loader-v0                            | Fabric Resource Loader (v0)               | 0.11.10+1802ada577              | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json                                                                                                                                                                                                                                                                           |                                          |                
CrashAssistant-fabric-1.19-1.20.1-1.11.9.jar                                 |       | crash_assistant                                      | Crash Assistant                           | 1.11.9                          | crash_assistant-fabric.mixins.json, crash_assistant.mixins.json                                                                                                                                                                                                                                                                                               | 282bcc85874cc653fe5f44b9b8cfc98b911a4457 | 3026271758     
    /META-INF/jarjar/app.jar                                                 |       |                                                      |                                           |                                 |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
cratedelight-25.09.22-1.20-fabric.jar                                        |       | cratedelight                                         | Crate Delight                             | 25.09.22-1.20-fabric            |                                                                                                                                                                                                                                                                                                                                                               | 1f6ab7a5ffce24e5c99b2548baac9a4dc0d3496b | 3440421854     
creeperoverhaul-3.0.2-fabric.jar                                             |       | creeperoverhaul                                      | Creeper Overhaul                          | 3.0.2                           | creeperoverhaul.mixins.json, creeperoverhaul-common.mixins.json                                                                                                                                                                                                                                                                                               | 28f45ffa819e310e0df0e652b7a971db993fa008 | 2420067806     
    /META-INF/jars/resourcefullib-fabric-1.20.1-2.1.20.jar                   |       | resourcefullib                                       | Resourceful Lib                           | 2.1.20                          | resourcefullib.mixins.json                                                                                                                                                                                                                                                                                                                                    |                                          |                
        /META-INF/jars/yabn-1.0.3.jar                                        |       | com_teamresourceful_yabn                             | yabn                                      | 1.0.3                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
        /META-INF/jars/bytecodecs-1.0.2.jar                                  |       | com_teamresourceful_bytecodecs                       | bytecodecs                                | 1.0.2                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
Debugify-1.20.1+2.0.jar                                                      |       | debugify                                             | Debugify                                  | 1.20.1+2.0                      | debugify.mixins.json, debugify.client.mixins.json                                                                                                                                                                                                                                                                                                             | ca859180ad2b57856fbcc8db4995c1871a7d556c | 2671775891     
diggusmaximus-1.5.9-1.20.jar                                                 |       | diggusmaximus                                        | Diggus Maximus                            | 1.5.9-1.20                      | diggusmaximus.mixins.json                                                                                                                                                                                                                                                                                                                                     | 7b36c55155d6320287007491818a23bd1c23b2b3 | 1885235573     
    /META-INF/jars/kyrptconfig-1.5.6-1.20.jar                                |       | kyrptconfig                                          | Kyrpt Config                              | 1.5.6-1.20                      |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
dummmmmmy-1.20-2.0.12-fabric.jar                                             |       | dummmmmmy                                            | MmmMmmMmmMmm                              | 1.20-2.0.12                     | dummmmmmy-common.mixins.json, dummmmmmy.mixins.json                                                                                                                                                                                                                                                                                                           | 4d34137a8bd1d8f6dd95473b6d15b75c417c269e | 2211496119     
